"Artifact_Id","Operation","Suboperation","Lot","Lenght_mm","Width_mm","Mass_g","Thickness_mm","Raw_material","Quality","Cortex","Attribute_termination","Comments","Thickness_bulb_mm","Attribute_platform","Type_collection"
718,4,"M",1,22,12,0.6,1.5,"Chert",3,"None","Feathered","",NA,NA,NA
720,4,"L",1,32,30,4.8,7,"Chert",3,"<50%","Feathered","",4.1,"Flat",NA
721,4,"L",1,29,22,8.5,12,"Chert",3,"None",NA,"",NA,NA,NA
722,4,"L",1,28,21,3.1,5,"Chert",2,"None",NA,"",NA,NA,NA
723,4,"L",1,24,20,0.9,3,"x",1,"None",NA,"",3.1,"Flat",NA
724,4,"O",2,70,49,18,33.7,"Chert",4,"None","Stepped","",17.1,"Flat",NA
725,4,"O",2,31.5,20.2,39,6,"Chert",4,"None","Feathered","",5,"Flat",NA
726,4,"O",2,37,18,4,8,"Chert",3,"None","Feathered","",7.9,"Abradded",NA
727,4,"O",2,44,39,22.2,11,"Chert",3,"None",NA,"",NA,NA,NA
728,4,"O",2,33,26,4.4,7,"Chert",4,"<50%",NA,"",NA,NA,NA
729,4,"O",2,30.5,9.8,0.7,1.8,"Chert",4,"None","Feathered","Curved flake",2.5,NA,NA
730,4,"O",2,24,17.8,2,4,"Limestone",3,"None",NA,"Masonry",NA,NA,NA
736,4,"O",2,44,18.9,3.4,3.8,"Chert",4,"None","Hinged","",3.1,NA,NA
737,4,"D",4,63.2,30.4,18.1,7.9,"Limestone",3,"None",NA,"Masonry",NA,"Flat",NA
738,4,"D",4,18.5,14.8,1.3,4.1,"Limestone",3,"None",NA,"Masonry",NA,NA,NA
742,4,"N",1,28.8,14.4,2.2,5.1,"Chert",4,"None","Feathered","",5.1,NA,NA
743,4,"N",2,22.4,34.5,35.5,17.2,"Chert",4,"None",NA,"Really dark chert almost black ",NA,"Flat",NA
751,4,"O",2,33.8,23.5,3.8,4.7,"`Chert",5,"None","Feathered","Refit",NA,NA,NA
752,4,"O",2,30.3,20,4,5.5,"Chert",5,"None","Feathered","Refit",5.8,NA,NA
753,4,"O",2,18.5,13.7,1.2,4.3,"Chert",3,"None",NA,"",NA,NA,NA
755,4,"K",2,30.1,17.5,9.2,10.1,"Limestone",3,"None",NA,"Masonry Flake",NA,NA,NA
756,4,"K",2,64.4,25.7,17.8,11.7,"Chert",4,"None","Overshot","",10.5,"Flat",NA
757,4,"K",2,32.4,24,5,8.3,"Chert",3,"None",NA,"",6,"Flat",NA
760,4,"G",4,24.3,15.1,1.3,2.6,"Chert",4,"None","Feathered","",NA,NA,NA
761,4,"G",4,25,24,7.7,11,"Chert",5,"None",NA,"",NA,NA,NA
762,4,"G",3,39.7,23.3,18.6,16.6,"Chert",2,"None",NA,"",NA,NA,NA
763,4,"G",3,39,33,9.6,16.6,"Chert",2,"None",NA,"",8,"Flat",NA
764,4,"G",3,40.2,11.5,4.9,11.9,"Chert",5,"<50%",NA,"",NA,NA,NA
765,4,"G",3,31.1,18.4,3.7,17.9,"Chert",3,"None",NA,"",NA,NA,NA
766,4,"G",3,18,13.4,1.2,3,"Chert",3,"None",NA,"",NA,NA,NA
767,4,"G",3,34.4,26.3,5.8,8.3,"Chert",3,"None","Feathered","",8.8,NA,NA
768,4,"G",3,20.7,13.2,1.2,4.3,"Chert",4,"None","Feathered","",4.7,"Flat",NA
769,4,"G",3,21,10,1.1,3.9,"x",3,"None","Feathered","",NA,NA,NA
770,4,"G",3,15.4,12.7,0.5,2.2,"Chert",5,"None","Feathered","",3,NA,NA
771,4,"G",3,41.4,34.2,29.6,16.9,"Chert",4,"<50%",NA,"",NA,NA,NA
772,4,"G",3,26.1,19.5,3.3,5.1,"Limestone",3,"None",NA,"Masonry ",NA,NA,NA
773,4,"G",3,28.6,19.4,3.2,7.6,"Limestone",4,"None",NA,"Masonry",NA,NA,NA
774,4,"G",3,25,21.1,3,6.1,"Limestone",4,"None",NA,"Masonry",NA,NA,NA
775,4,"G",3,21.2,13,1.4,5.3,"Limestone",4,"None",NA,"Masonry",NA,NA,NA
776,4,"G",3,18.5,19.3,2.3,6.8,"Limestone",3,"None","Feathered","Masonry",NA,NA,NA
777,4,"G",3,25.3,20.4,2.4,7.2,"Limestone",3,"None",NA,"Masonry",NA,NA,NA
778,4,"G",3,57,37.6,28.5,13.2,"Limestone",2,"None",NA,"Masonry",NA,NA,NA
779,4,"G",3,57.2,47.3,41.8,14.5,"Limestone",3,"None","Feathered","Masonry",15.4,"Flat",NA
786,4,"J",5,14.6,9.7,0.5,2.7,"Chert",5,"None","Feathered","",NA,NA,NA
787,4,"J",6,29.5,25.4,4.6,5.2,"Chert",5,"None","Feathered","Very nice flake",6.2,"Flat",NA
788,4,"J",6,21.8,16.3,1,2.6,"Chert",5,"None","Feathered","",NA,NA,NA
790,4,"K",1,34.6,21.2,8.3,8,"Chert",2,"None",NA,"",NA,NA,NA
791,4,"K",1,23.2,27.9,2.6,3.9,"Chert",4,"None","Hinged","",4.7,"Flat",NA
792,4,"K",1,23.1,13.4,2.6,9.8,"Chert",5,"None",NA,"",NA,NA,NA
793,4,"K",1,21.1,13.6,1,2.3,"Chert",4,"None",NA,"",NA,NA,NA
794,4,"K",1,20.9,10,0.6,2.9,"Chert",4,"None","Feathered","",3.1,NA,NA
795,4,"K",1,15.8,13.2,0.8,4.1,"Chert",5,">50%",NA,"",4.1,"Cortical",NA
796,4,"K",1,28.7,29,14.5,30.8,"Limestone",3,"None",NA,"Masonry",9.2,NA,NA
801,4,"K",3,22.6,17.7,2,4.3,"Chert",4,">50%","Feathered","",4.1,"Flat",NA
802,4,"K",3,54,32.2,25,15.6,"Chert",3,"None","Feathered","",NA,NA,NA
805,4,"J",4,14.5,10.9,1.4,6.3,"Chert",4,"None",NA,"",NA,NA,NA
807,4,"I",1,29.7,21.4,3.8,5.4,"Limestone",4,"None","Feathered","Masonry 2012",5.6,"Flat",NA
808,4,"I",1,51.4,34,28.7,13.9,"Chert",3,"None",NA,"2012",NA,NA,NA
813,2,"A",4,24.7,18.2,2.4,3.5,"Chert",5,"None",NA,"Reanalayzed JB",3.5,NA,NA
814,2,"A",4,18.5,15.3,7.1,2.5,"Chert",4,"None",NA,"Reanalayzed JB",NA,NA,NA
815,2,"A",4,44.4,27.8,10.5,12.2,"Chert",3,"None","Feathered","Reanalayzed JB",7.4,NA,NA
816,2,"A",4,27.6,15,6.3,4.4,"Chert",3,"None",NA,"Reanalayzed JB",NA,NA,NA
817,2,"A",4,23,15.7,4.6,2.4,"Chert",3,"None","Feathered","Reanalayzed JB",NA,NA,NA
818,2,"A",4,35,23.1,10.3,8.7,"Chert",5,"None",NA,"Reanalayzed JB",9.8,"Flat",NA
819,2,"A",4,13.6,5.8,5,33.4,"Chert",4,"None","Feathered","Reanalayzed JB",7.1,NA,NA
820,2,"A",4,38.2,36.6,11.1,16.9,"Chert",4,"<50%",NA,"Reanalayzed JB",10.1,"Flat",NA
822,2,"A",4,32.4,13.2,4.4,2.3,"Chert",2,"None",NA,"Reanalayzed JB",NA,NA,NA
823,2,"A",4,44.5,14.3,6.9,6.3,"Chert",5,"None",NA,"Reanalayzed JB",NA,NA,NA
824,2,"A",4,36.8,18.8,5.9,4.8,"Chert",4,"None",NA,"Reanalayzed JB",5.9,NA,NA
825,2,"A",4,24.2,15.6,4.1,2.3,"Chert",3,"None",NA,"Reanalayzed JB",4.6,NA,NA
826,2,"A",4,29.8,13.9,6,2.8,"Chert",3,"None","Feathered","Reanalayzed JB",NA,NA,NA
827,2,"A",4,31.4,15.6,6.7,4.8,"Chert",4,"None",NA,"Reanalayzed JB",NA,NA,NA
828,2,"A",4,21.4,21.3,5,2.9,"Chert",5,"<50%",NA,"Reanalayzed JB",4.5,"Cortical",NA
829,2,"A",4,26,14.9,3.6,1.8,"Chert",3,"None","Feathered","Reanalayzed JB",NA,NA,NA
830,2,"A",4,25.8,15.4,4.5,2.1,"Chert",3,"None",NA,"Reanalayzed JB",4.3,NA,NA
831,2,"A",4,22.5,15.3,4,2,"Chert",3,"None","Feathered","Reanalayzed JB",5.1,NA,NA
832,2,"A",4,17.6,10.9,3.2,0.5,"Chert",4,"None","Feathered","Reanalayzed JB",3.6,"Flat",NA
833,2,"A",4,21.7,13.7,3,1.2,"Chert",3,"None","Feathered","Reanalayzed JB",3.1,"Flat",NA
834,2,"A",4,23.8,15.9,3.2,1.3,"Chert",4,"None",NA,"Reanalayzed JB",NA,NA,NA
863,4,"R",1,28.3,18.1,5.8,3.7,"Chert",4,"None","Feathered","",6.8,"Flat",NA
864,4,"R",1,17.2,10,3,0.5,"Chert",5,"None",NA,"",3,"Flat",NA
864,4,"R",1,32,23.6,4,2.7,"Chert",5,"None",NA,"",3.9,NA,NA
879,1,"B",7,33.5,28.9,6.1,7.5,"Chert",4,"None","Feathered","Reanalayzed JB, # 382 & 327-381",6.4,NA,NA
880,1,"B",7,41.2,28.1,5.6,9,"Chert",3,"None","Overshot","Reanalayzed JB",8,"Flat",NA
881,1,"B",7,69.2,30.6,44.7,22,"Chert",2,">50%","Overshot","Reanalayzed JB",NA,"Flat",NA
882,1,"B",7,36.7,19.8,6.5,6.8,"Chert",2,"<50%","Stepped","Reanalayzed JB",9.8,"Cortical",NA
883,1,"B",7,29.8,22.5,5.3,3.6,"Chert",5,"<50%",NA,"Reanalayzed JB",5.1,"Cortical",NA
884,4,"P",1,48.6,21.2,12,12.4,"Chert",1,"None",NA,"",NA,NA,NA
885,4,"P",1,32.8,27.1,6.7,7,"Chert",5,"<50%","Feathered","",7.6,NA,NA
886,4,"P",1,40.4,32.7,12.3,10.1,"Chert",3,"<50%","Feathered","",9.7,"Flat",NA
898,4,"S",1,33.6,28,8.8,9.3,"Chert",4,"None","Feathered","",9.4,NA,NA
899,4,"S",1,57.2,33.8,20.2,12.6,"Limestone",2,"None","Feathered","Masonry",12.5,"Flat",NA
900,4,"S",1,26.6,18.4,30.2,6.4,"Limestone",3,"None","Feathered","Masonry",4.8,"Flat",NA
901,4,"S",1,37.5,27,5.3,5.2,"Limestone",2,"None","Feathered","Masonry",6.2,"Flat",NA
902,4,"S",1,36.3,18.5,3.5,4.2,"Limestone",3,"None","Stepped","Masonry",NA,NA,NA
903,4,"S",1,28.7,23.7,3.8,6.8,"Limestone",3,"None","Feathered","Masonry",6.3,"Flat",NA
909,1,"A",7,41.3,56.4,24.4,14.8,"Chert",3,"<50%","Feathered","Reanalayzed JB",17.4,"Cortical",NA
910,1,"A",7,52.4,33.1,16.3,10,"Chert",2,"None",NA,"Reanalayzed JB",9.3,NA,NA
911,1,"A",7,38.3,28.5,13.7,10.9,"Chert",1,"<50%",NA,"Reanalayzed JB",10,"Cortical",NA
912,1,"A",7,45.3,16.5,4.8,7.3,"Chert",2,"None","Feathered","Reanalayzed JB",NA,NA,NA
913,1,"A",7,38.4,26.7,5.9,8.3,"Chert",4,"None",NA,"Reanalayzed JB",6.4,NA,NA
914,1,"A",7,28.2,26.8,14.5,7.5,"Chert",5,"None",NA,"Reanalayzed JB",NA,NA,NA
915,1,"A",7,30.5,26.3,6.3,4.2,"Chert",3,"None","Feathered","Reanalayzed JB",NA,NA,NA
916,1,"A",7,17.8,29.5,5.4,3.4,"Chert",1,"None",NA,"Reanalayzed JB",NA,NA,NA
917,1,"A",7,28.5,27.7,5.9,5.7,"Chert",5,"None","Feathered","Reanalayzed JB",7.2,"Flat",NA
918,1,"A",7,28.7,22.3,4.9,4.7,"Chert",5,"None","Feathered","Reanalayzed JB",7.1,"Flat",NA
919,1,"A",7,35.3,18.2,4.5,8.5,"Chert",3,"None",NA,"Reanalayzed JB",NA,NA,NA
920,1,"A",7,17.8,14.8,1.1,2.6,"Chert",3,"None","Stepped","Reanalayzed JB",NA,NA,NA
932,4,"R",2,45,NA,17.6,14.1,"Chert",3,"None",NA,"",14.1,"Flat",NA
933,4,"R",2,31.9,21.3,4.4,7.3,"Chert",5,"None","Feathered","",7.3,NA,NA
934,4,"R",2,31.7,23.2,2.4,4.3,"Chert",4,"None","Feathered","",2.8,"Flat",NA
935,4,"R",2,23.6,16.2,1.8,3.9,"Chert",5,"None","Feathered","",2.9,"Flat",NA
936,4,"R",2,29.3,16.4,1.1,2.7,"Chert",3,"None","Feathered","",3.4,"Flat",NA
937,4,"R",2,20.9,9.3,0.8,2.7,"Chert",4,"None","Feathered","",NA,NA,NA
938,4,"R",2,17.2,15.7,1.3,3.1,"Chert",5,"None",NA,"",3.5,NA,NA
939,4,"R",2,21.6,13.4,0.9,2.2,"Chert",2,"None","Feathered","",2.5,"Flat",NA
