Artifact#,Provenience,Length (mm),Width (mm),Weight (g),Thickness (mm),Bulb Thickness (mm),Material Type,Material Quality,Cortex,Platform,Term.,Comments
936,4-R-2,29.3,16.4,1.1,2.7,3.4,Chert,Intermediate,x,Flat,Feathered,
937,4-R-2,20.9,9.3,0.8,2.7,x,Chert,Good,x,x,Feathered,
938,4-R-2,17.2,15.7,1.3,3.1,3.5,Chert,Very Good,x,x,x,
939,4-R-2,21.6,13.4,0.9,2.2,2.5,Chert,Bad,x,Flat,Feathered,
950,4-R-2,19.3,9.2,1,5.9,5.6,Chert,Very Good,x,Flat,x,
951,2-A-2,30,26.2,3.8,4.7,6.2,Chert,Good,x,Flat,Feathered,Reanalyzed JB
959,2-A-5,24.5,17,3,5.1,x,Chert,Intermediate,x,x,Feathered,Reanalyzed JB
960,2-A-5,31.3,19.1,3.4,4.9,7.1,Chert,Good,x,Flat,Feathered,Reanalyzed JB
961,2-A-5,19,25.7,1.5,3.7,4.3,Chert,Very Good,x,Flat,x,Reanalyzed JB
962,2-A-5,25.3,24.5,4.6,6.8,6.5,Chert,Intermediate,x,Flat,Hinged,Reanalyzed JB
963,2-A-5,30,2.3,8.3,4.4,x,Chert,Good,x,x,Feathered,Reanalyzed JB
964,2-A-5,15.3,16.4,0.8,3.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
965,2-A-5,12.9,22,1.2,3.2,x,Chert,Good,x,x,x,Reanalyzed JB
966,2-A-5,23.1,12.6,1.1,3.4,x,Chert,Good,x,x,x,Reanalyzed JB
967,2-A-5,25.8,12,2.9,7.3,x,Chert,Intermediate,x,x,x,Reanalyzed JB
968,2-A-5,32.6,14.5,2.7,4.1,x,`Chert,Intermediate,x,x,x,Reanalyzed JB
969,2-A-5,32.9,11.7,2.7,5.6,x,Chert,Bad ,x,x,x,Reanalyzed JB
970,2-A-5,30.5,13.6,3,4.9,x,Chert,Good,x,x,Feathered,"Reanalyzed Jb, sides worked"
971,2-A-5,28.1,17.7,3,6.4,x,Chert,Good,x,Flat,Feathered,"Reanalyzed Jb, sides worked"
972,2-A-5 ,26.9,18.6,2,3.2,x,Chert,Intermediate,x,Flat,Feathered,Reanalyzed JB
